Programs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aerospace Engineering,0.10526315789473684,0.1368421052631579,0.5052631578947369,0.6526315789473685,0.06315789473684211,0.0,0.07368421052631578,0.5473684210526316,0.631578947368421,0.6105263157894737,0.16842105263157894,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.09473684210526316,2.7473684210526317,0.010526315789473684,0.49473684210526314,0.1368421052631579,0.7157894736842105
Agricultural and Environmental Plant Sciences,0.3058823529411765,0.07058823529411765,0.24705882352941178,2.635294117647059,0.08235294117647059,0.03529411764705882,0.5176470588235295,0.15294117647058825,0.3058823529411765,0.21176470588235294,0.2235294117647059,0.023529411764705882,0.4117647058823529,1.0823529411764705,0.011764705882352941,0.35294117647058826,0.1411764705882353,0.058823529411764705,0.03529411764705882,0.023529411764705882
Agricultural Business,0.5333333333333333,0.15555555555555556,0.15555555555555556,2.5555555555555554,0.13333333333333333,0.0,0.5333333333333333,0.6222222222222222,0.37777777777777777,0.5555555555555556,0.4444444444444444,0.08888888888888889,0.08888888888888889,1.9777777777777779,0.022222222222222223,0.37777777777777777,0.15555555555555556,0.1111111111111111,0.022222222222222223,0.022222222222222223
Agricultural Communication,0.5227272727272727,0.1590909090909091,0.2727272727272727,1.9772727272727273,0.75,0.0,0.7272727272727273,0.29545454545454547,0.29545454545454547,0.25,0.36363636363636365,0.13636363636363635,0.25,1.5227272727272727,0.0,0.2727272727272727,0.0,0.13636363636363635,0.022727272727272728,0.06818181818181818
Agricultural Science,0.42990654205607476,0.17757009345794392,0.21495327102803738,2.0934579439252334,0.17757009345794392,0.009345794392523364,0.2616822429906542,0.32710280373831774,0.21495327102803738,0.308411214953271,0.32710280373831774,0.06542056074766354,0.06542056074766354,1.794392523364486,0.028037383177570093,0.4766355140186916,0.17757009345794392,0.04672897196261682,0.028037383177570093,0.06542056074766354
Agricultural Systems Management,0.2839506172839506,0.19753086419753085,0.5308641975308642,1.4444444444444444,0.2345679012345679,0.04938271604938271,0.30864197530864196,0.38271604938271603,0.5061728395061729,0.5679012345679012,0.2716049382716049,0.12345679012345678,0.1111111111111111,1.3950617283950617,0.024691358024691357,1.0617283950617284,0.08641975308641975,0.1111111111111111,0.037037037037037035,0.345679012345679
Animal Science,0.19801980198019803,0.22772277227722773,0.0891089108910891,1.1683168316831682,0.06930693069306931,0.024752475247524754,0.9207920792079208,0.3069306930693069,0.28217821782178215,0.31683168316831684,0.5099009900990099,0.0891089108910891,0.13366336633663367,1.495049504950495,0.0297029702970297,0.31683168316831684,0.04950495049504951,0.13861386138613863,0.024752475247524754,0.13861386138613863
Anthropology and Geography,1.9230769230769231,0.5230769230769231,0.2,0.9692307692307692,0.38461538461538464,0.12307692307692308,0.3384615384615385,0.27692307692307694,0.26153846153846155,0.4,0.47692307692307695,0.2923076923076923,0.46153846153846156,0.5846153846153846,0.015384615384615385,0.35384615384615387,0.26153846153846155,0.03076923076923077,0.046153846153846156,0.16923076923076924
Architectural Engineering,0.10204081632653061,0.14285714285714285,0.30612244897959184,0.4897959183673469,0.1836734693877551,0.0,0.08163265306122448,0.5306122448979592,1.7142857142857142,0.5306122448979592,0.1836734693877551,0.02040816326530612,0.08163265306122448,0.14285714285714285,0.02040816326530612,0.9183673469387755,0.02040816326530612,0.4489795918367347,0.04081632653061224,0.6326530612244898
Architecture,0.4594594594594595,0.21621621621621623,0.05405405405405406,0.13513513513513514,0.43243243243243246,0.0,0.02702702702702703,0.05405405405405406,2.027027027027027,0.13513513513513514,0.24324324324324326,0.0,0.05405405405405406,0.24324324324324326,0.0,0.32432432432432434,0.08108108108108109,0.5675675675675675,0.0,0.16216216216216217
Art and Design,1.4659090909090908,0.23863636363636365,0.22727272727272727,0.25,1.1931818181818181,0.19318181818181818,0.011363636363636364,0.18181818181818182,0.25,0.42045454545454547,0.045454545454545456,0.045454545454545456,0.1590909090909091,0.18181818181818182,0.06818181818181818,0.19318181818181818,0.125,0.045454545454545456,0.045454545454545456,0.022727272727272728
Biochemistry,0.10526315789473684,0.4605263157894737,0.06578947368421052,0.47368421052631576,0.15789473684210525,0.039473684210526314,1.9342105263157894,0.5263157894736842,0.5,0.3815789473684211,0.3026315789473684,0.11842105263157894,0.19736842105263158,0.2236842105263158,0.0,0.4868421052631579,0.0,0.3684210526315789,0.0,0.2894736842105263
Biological Sciences,0.4084507042253521,0.5422535211267606,0.21830985915492956,0.7112676056338029,0.2676056338028169,0.09154929577464789,1.2394366197183098,0.4788732394366197,0.38028169014084506,0.47183098591549294,0.5140845070422535,0.14084507042253522,0.22535211267605634,0.2746478873239437,0.0,0.4295774647887324,0.16901408450704225,0.2112676056338028,0.04225352112676056,0.1056338028169014
Biomedical Engineering,0.15306122448979592,0.1326530612244898,0.673469387755102,0.5408163265306123,0.2653061224489796,0.01020408163265306,0.9489795918367347,0.5510204081632653,0.8877551020408163,0.6020408163265306,0.25510204081632654,0.10204081632653061,0.20408163265306123,0.21428571428571427,0.0,1.1326530612244898,0.030612244897959183,0.47959183673469385,0.1836734693877551,0.5
BioResource and Agricultural Engineering,0.2698412698412698,0.12698412698412698,0.6031746031746031,0.6349206349206349,0.20634920634920634,0.047619047619047616,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.20634920634920634,0.1111111111111111,0.15873015873015872,0.5396825396825397,0.0,1.4603174603174602,0.06349206349206349,0.3492063492063492,0.07936507936507936,0.6825396825396826
Business Administration,0.8181818181818182,0.21212121212121213,0.30303030303030304,0.8787878787878788,0.21212121212121213,0.06060606060606061,0.06060606060606061,1.2121212121212122,0.42424242424242425,1.1818181818181819,0.24242424242424243,0.12121212121212122,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.5151515151515151,0.12121212121212122,0.12121212121212122,0.0,0.0
Chemistry,0.11594202898550725,0.5072463768115942,0.3333333333333333,0.4782608695652174,0.14492753623188406,0.043478260869565216,1.6521739130434783,0.5507246376811594,0.4492753623188406,0.391304347826087,0.2318840579710145,0.14492753623188406,0.2318840579710145,0.2318840579710145,0.0,0.5942028985507246,0.0,0.42028985507246375,0.0,0.463768115942029
